Plugin,Repository,URL,Has_Open_JDK25_PRs,Open_PRs_Count,Open_PR_Numbers,Open_PR_URLs,Has_Jenkinsfile
Active Choices Plugin,jenkinsci/active-choices-plugin,https://github.com/jenkinsci/active-choices-plugin,false,0,"","",true
Active Directory Plugin,jenkinsci/active-directory-plugin,https://github.com/jenkinsci/active-directory-plugin,false,0,"","",true
Allure Plugin,jenkinsci/allure-plugin,https://github.com/jenkinsci/allure-plugin,false,0,"","",true
Analysis Model Api Plugin,jenkinsci/analysis-model-api-plugin,https://github.com/jenkinsci/analysis-model-api-plugin,false,0,"","",true
Ansible Plugin,jenkinsci/ansible-plugin,https://github.com/jenkinsci/ansible-plugin,false,0,"","",true
Ansicolor Plugin,jenkinsci/ansicolor-plugin,https://github.com/jenkinsci/ansicolor-plugin,false,0,"","",true
Ant Plugin,jenkinsci/ant-plugin,https://github.com/jenkinsci/ant-plugin,false,0,"","",true
Antisamy Markup Formatter Plugin,jenkinsci/antisamy-markup-formatter-plugin,https://github.com/jenkinsci/antisamy-markup-formatter-plugin,false,0,"","",true
Apache Httpcomponents Client 4 Api Plugin,jenkinsci/apache-httpcomponents-client-4-api-plugin,https://github.com/jenkinsci/apache-httpcomponents-client-4-api-plugin,false,0,"","",true
Apache Httpcomponents Client 5 Api Plugin,jenkinsci/apache-httpcomponents-client-5-api-plugin,https://github.com/jenkinsci/apache-httpcomponents-client-5-api-plugin,false,0,"","",true
Artifactory Plugin,jenkinsci/artifactory-plugin,https://github.com/jenkinsci/artifactory-plugin,false,0,"","",true
Asm Api Plugin,jenkinsci/asm-api-plugin,https://github.com/jenkinsci/asm-api-plugin,false,0,"","",true
Authentication Tokens Plugin,jenkinsci/authentication-tokens-plugin,https://github.com/jenkinsci/authentication-tokens-plugin,false,0,"","",true
Authorize Project Plugin,jenkinsci/authorize-project-plugin,https://github.com/jenkinsci/authorize-project-plugin,false,0,"","",true
Aws Credentials Plugin,jenkinsci/aws-credentials-plugin,https://github.com/jenkinsci/aws-credentials-plugin,false,0,"","",true
Aws Java Sdk Plugin,jenkinsci/aws-java-sdk-plugin,https://github.com/jenkinsci/aws-java-sdk-plugin,false,0,"","",true
Badge Plugin,jenkinsci/badge-plugin,https://github.com/jenkinsci/badge-plugin,false,0,"","",true
Bitbucket Branch Source Plugin,jenkinsci/bitbucket-branch-source-plugin,https://github.com/jenkinsci/bitbucket-branch-source-plugin,false,0,"","",true
Bitbucket Plugin,jenkinsci/bitbucket-plugin,https://github.com/jenkinsci/bitbucket-plugin,false,0,"","",true
Blueocean Autofavorite Plugin,jenkinsci/blueocean-autofavorite-plugin,https://github.com/jenkinsci/blueocean-autofavorite-plugin,false,0,"","",true
Blueocean Display Url Plugin,jenkinsci/blueocean-display-url-plugin,https://github.com/jenkinsci/blueocean-display-url-plugin,false,0,"","",true
Blueocean Plugin,jenkinsci/blueocean-plugin,https://github.com/jenkinsci/blueocean-plugin,false,0,"","",true
Bootstrap4 Api Plugin,jenkinsci/bootstrap4-api-plugin,https://github.com/jenkinsci/bootstrap4-api-plugin,false,0,"","",true
Bootstrap5 Api Plugin,jenkinsci/bootstrap5-api-plugin,https://github.com/jenkinsci/bootstrap5-api-plugin,false,0,"","",true
Bouncycastle Api Plugin,jenkinsci/bouncycastle-api-plugin,https://github.com/jenkinsci/bouncycastle-api-plugin,false,0,"","",true
Branch Api Plugin,jenkinsci/branch-api-plugin,https://github.com/jenkinsci/branch-api-plugin,false,0,"","",true
Build Name Setter Plugin,jenkinsci/build-name-setter-plugin,https://github.com/jenkinsci/build-name-setter-plugin,false,0,"","",true
Build Pipeline Plugin,jenkinsci/build-pipeline-plugin,https://github.com/jenkinsci/build-pipeline-plugin,false,0,"","",true
Build Timeout Plugin,jenkinsci/build-timeout-plugin,https://github.com/jenkinsci/build-timeout-plugin,false,0,"","",true
Build User Vars Plugin,jenkinsci/build-user-vars-plugin,https://github.com/jenkinsci/build-user-vars-plugin,false,0,"","",true
Built On Column Plugin,jenkinsci/built-on-column-plugin,https://github.com/jenkinsci/built-on-column-plugin,false,0,"","",true
Caffeine Api Plugin,jenkinsci/caffeine-api-plugin,https://github.com/jenkinsci/caffeine-api-plugin,false,0,"","",true
Checks Api Plugin,jenkinsci/checks-api-plugin,https://github.com/jenkinsci/checks-api-plugin,false,0,"","",true
Cloud Stats Plugin,jenkinsci/cloud-stats-plugin,https://github.com/jenkinsci/cloud-stats-plugin,false,0,"","",true
Cloudbees Folder Plugin,jenkinsci/cloudbees-folder-plugin,https://github.com/jenkinsci/cloudbees-folder-plugin,false,0,"","",true
Cobertura Plugin,jenkinsci/cobertura-plugin,https://github.com/jenkinsci/cobertura-plugin,false,0,"","",true
Code Coverage Api Plugin,jenkinsci/code-coverage-api-plugin,https://github.com/jenkinsci/code-coverage-api-plugin,false,0,"","",true
Command Launcher Plugin,jenkinsci/command-launcher-plugin,https://github.com/jenkinsci/command-launcher-plugin,false,0,"","",true
Commons Compress Api Plugin,jenkinsci/commons-compress-api-plugin,https://github.com/jenkinsci/commons-compress-api-plugin,false,0,"","",true
Commons Httpclient3 Api Plugin,jenkinsci/commons-httpclient3-api-plugin,https://github.com/jenkinsci/commons-httpclient3-api-plugin,false,0,"","",true
Commons Lang3 Api Plugin,jenkinsci/commons-lang3-api-plugin,https://github.com/jenkinsci/commons-lang3-api-plugin,false,0,"","",true
Commons Text Api Plugin,jenkinsci/commons-text-api-plugin,https://github.com/jenkinsci/commons-text-api-plugin,false,0,"","",true
Conditional Buildstep Plugin,jenkinsci/conditional-buildstep-plugin,https://github.com/jenkinsci/conditional-buildstep-plugin,false,0,"","",true
Config File Provider Plugin,jenkinsci/config-file-provider-plugin,https://github.com/jenkinsci/config-file-provider-plugin,false,0,"","",true
Configuration As Code Plugin,jenkinsci/configuration-as-code-plugin,https://github.com/jenkinsci/configuration-as-code-plugin,false,0,"","",true
Copyartifact Plugin,jenkinsci/copyartifact-plugin,https://github.com/jenkinsci/copyartifact-plugin,false,0,"","",true
Coverage Plugin,jenkinsci/coverage-plugin,https://github.com/jenkinsci/coverage-plugin,false,0,"","",true
Credentials Binding Plugin,jenkinsci/credentials-binding-plugin,https://github.com/jenkinsci/credentials-binding-plugin,false,0,"","",true
Credentials Plugin,jenkinsci/credentials-plugin,https://github.com/jenkinsci/credentials-plugin,false,0,"","",true
Dark Theme Plugin,jenkinsci/dark-theme-plugin,https://github.com/jenkinsci/dark-theme-plugin,false,0,"","",true
Dashboard View Plugin,jenkinsci/dashboard-view-plugin,https://github.com/jenkinsci/dashboard-view-plugin,false,0,"","",true
