name,popularity
script-security,273465
structs,273044
scm-api,272742
workflow-step-api,272679
mailer,272602
credentials,272464
bouncycastle-api,272233
display-url-api,271975
ssh-credentials,271703
workflow-api,270763
workflow-scm-step,270138
apache-httpcomponents-client-4-api,269613
workflow-support,269273
junit,268395
jackson2-api,268179
plain-credentials,267589
git-client,266825
matrix-project,265994
credentials-binding,265778
token-macro,264673
git,264503
cloudbees-folder,264244
workflow-job,263678
durable-task,262893
workflow-cps,261738
trilead-api,261221
workflow-durable-task-step,261053
antisamy-markup-formatter,260603
branch-api,260164
workflow-basic-steps,259056
pipeline-stage-step,258587
pipeline-input-step,257796
workflow-multibranch,257716
pipeline-stage-tags-metadata,256704
pipeline-model-api,256607
pipeline-build-step,256372
pipeline-milestone-step,255110
pipeline-model-extensions,254641
snakeyaml-api,253260
matrix-auth,252990
pipeline-model-definition,252673
pipeline-graph-analysis,250861
plugin-util-api,248574
jquery3-api,248381
font-awesome-api,247323
echarts-api,247176
workflow-aggregator,245907
caffeine-api,245031
checks-api,245005
ssh-slaves,241861
resource-disposer,238762
github-api,237716
jaxb,237258
bootstrap5-api,236695
variant,236601
timestamper,236479
ws-cleanup,235938
javax-activation-api,235450
ldap,235240
github,234051
pam-auth,232395
okhttp-api,231605
github-branch-source,229291
email-ext,229279
ant,227455
build-timeout,223740
mina-sshd-api-common,218849
jakarta-activation-api,218066
jakarta-mail-api,218025
mina-sshd-api-core,216937
gradle,214556
commons-lang3-api,213653
ionicons-api,212880
jjwt-api,211583
instance-identity,210781
javax-mail-api,210645
pipeline-groovy-lib,209841
commons-text-api,209086
pipeline-github-lib,205085
command-launcher,201395
jdk-tool,201368
pipeline-rest-api,200088
pipeline-stage-view,196345
jsch,194680
sshd,194354
gson-api,165049
json-path-api,159840
json-api,153868
joda-time-api,152431
authentication-tokens,150397
asm-api,142876
javadoc,135483
eddsa-api,127332
maven-plugin,123735
git-server,119838
docker-commons,119412
metrics,113248
config-file-provider,106941
docker-workflow,105161
lockable-resources,101284
htmlpublisher,94666
workflow-cps-global-lib,89592
popper2-api,89463
role-strategy,88319
theme-manager,85394
mapdb-api,83717
handy-uri-templates-2-api,82361
dark-theme,81940
subversion,77845
external-monitor-job,76912
jquery,75200
favorite,72879
pubsub-light,72673
popper-api,71922
cloudbees-bitbucket-branch-source,70851
blueocean-commons,70778
blueocean-rest,70443
jenkins-design-language,70229
jersey2-api,70134
parameterized-trigger,69807
bootstrap4-api,68796
blueocean-core-js,68024
blueocean-web,67832
blueocean-jwt,67411
blueocean-pipeline-scm-api,67376
publish-over,67230
pipeline-graph-view,67128
data-tables-api,67076
blueocean-rest-impl,66490
blueocean-pipeline-api-impl,65716
sse-gateway,65403
nodejs,64773
run-condition,63428
jquery-detached,63020
blueocean-git-pipeline,62915
blueocean-dashboard,62719
ssh-agent,62251
blueocean-github-pipeline,62027
publish-over-ssh,61483
blueocean-i18n,61058
blueocean-display-url,60937
blueocean-personalization,60837
blueocean-config,60715
blueocean-pipeline-editor,60405
pipeline-utility-steps,60404
blueocean-bitbucket-pipeline,60345
blueocean-events,59834
localization-support,59299
localization-zh-cn,58432
git-parameter,58317
conditional-buildstep,58275
blueocean,57807
envinject-api,56094
envinject,53634
gitlab-plugin,53361
sonar,52019
docker-java-api,49557
ansicolor,47786
prism-api,47699
apache-httpcomponents-client-5-api,47539
mercurial,45629
rebuild,45461
docker-plugin,44752
copyartifact,44109
pipeline-model-declarative-agent,39978
kubernetes-client-api,39915
kubernetes-credentials,39288
slack,39090
uno-choice,39033
blueocean-autofavorite,39003
configuration-as-code,38767
cloud-stats,38686
job-dsl,37930
jira,37587
kubernetes,36490
aws-credentials,36265
aws-java-sdk-minimal,36231
build-user-vars-plugin,35243
aws-java-sdk-ec2,35088
jobConfigHistory,34873
ssh,34622
generic-webhook-trigger,33595
extended-choice-parameter,32576
forensics-api,32286
build-name-setter,31465
active-directory,31449
dashboard-view,30892
http_request,29777
thinBackup,29714
pipeline-maven,27279
groovy,27123
aws-java-sdk-ecr,25994
aws-java-sdk,25983
commons-compress-api,25820
blueocean-jira,25066
locale,24738
jnr-posix-api,24583
aws-java-sdk-iam,24033
aws-java-sdk-elasticbeanstalk,23987
aws-java-sdk-cloudformation,23955
authorize-project,23757
simple-theme-plugin,23652
ssh-steps,22986
bitbucket,22463
aws-java-sdk-ecs,22240
aws-java-sdk-sqs,22179
gitlab-api,22173
aws-java-sdk-sns,22144
analysis-model-api,22103
aws-java-sdk-ssm,21746
aws-java-sdk-codebuild,21729
aws-java-sdk-logs,21721
warnings-ng,20962
artifactory,20884
emailext-template,20506
extended-read-permission,20432
mask-passwords,20268
aws-java-sdk-efs,19852
throttle-concurrents,19832
code-coverage-api,19823
jacoco,19776
badge,19649
ansible,19615
build-pipeline-plugin,19503
powershell,19356
monitoring,19291
commons-httpclient3-api,19117
Office-365-Connector,19002
parameterized-scheduler,18929
msbuild,18780
built-on-column,18655
h2-api,18370
nodelabelparameter,18237
multiple-scms,18016
icon-shim,17870
saml,17801
pipeline-maven-api,17771
cobertura,17713
groovy-postbuild,17567
prometheus,17524
postbuild-task,17465
cvs,17309
aws-java-sdk-kinesis,16770
aws-java-sdk-secretsmanager,16162
ivy,15998
job-import-plugin,15812
extensible-choice-parameter,15721
allure-jenkins-plugin,15370
node-iterator-api,15260
coverage,14731
